ID;Œntrebare;Var_A;Var_B;Var_C;Var_D;Var_E;Raspuns_Corect;Categorie;Punctaj
3777;Organizarea activitatii de aparare impotriva incendiilor la locul de munca... are ca scop asigurarea conditiilor care sa permita salariatilor... sa actioneze eficient pentru:;evacuarea si salvarea utilizatorilor constructiei;evacuarea bunurilor materiale;afisarea instructiunilor de aparare impotriva incendiilor;inlaturarea efectelor distructive provocate de incendii;-;ABD;PSI;2
3778;Organizarea apararii impotriva incendiilor la locul de munca, consta in:;marcarea pericolului de incendiu prin montarea indicatoarelor de securitate sau a altor inscriptii ori mijloace de atentionare;elaborarea documentelor specifice de instruire la locul de munca , desfasurarea propriuzisa si verificarea efectuarii acesteia;marcarea poricolului prin dispozitii verbale;organizarea interventiei de stingere a incendiilor;-;ABD;PSI;2
3779;Interventia la locul de munca in caz de incendiu presupune:;evacuarea bunurilor periclitate de incendiu si protejarea echipamentelor care pot fi deteriorate in timpul interventiei;protectia personalului de interventie impotriva efectelor negative ale incendiului(gaze, fum,etc.);nominalizarea celor care trebiue sa puna in functiune si sa utilizeze mijloacele tehnice din dotare pentru stingerea incendiului;verificarea amanuntita a locurilor in care se poate propaga incendiul si de unde pot aparea focare noi si actionarea pentru stingerea acestora;-;ABD;PSI;2
3780;Satisfacerea cerintei esentiale ,,securitate la incendiu,, pe intreaga durata de viata a instalatiei se asigura prin masuri independene ,privind:;conformarea la foc a constructiilor;asigurarea unor compartimente de incendiu in cadrul constructiilor in limite normate;asigurarea masurilor de limitare a propagarii incendiului in cadrul constructiilor;stingerea incendiilor cu sisteme ori instalatii adecvate si eficiente;mentinerea performantelor de reactie la foc si de rezistenta la foc ale produselor pentru constructii pe timpul utilizarii acestora;ABCDE;PSI;2
3781;Instalatiile de protectie impotriva incendiilor pot fi:;instalatii de stingere a incendiilor cu spuma;instalatii de stingere a incendiilor cu pulberi;instalatii de stingere a incendiilor cu ventilatoare;instalatii de detectare, semnalizare si alarmare la incendiu;instalatii de hidranti interiori;ABDE;PSI;2
4495;La releul directional RDC 3, unghiul de sensibilitate maxima de 45 de grade se foloseste:;pentru protectia maximala homopolara directionata;pentru protectia maximala directionata impotriva scurtcircuitelor intre faze;pentru protectia maximala homopolara;pentru protectia maximala;-;B;PROFESIONALA;6
4496;Releul FRC-2a este utilizat:;ca protectie de rezerva a liniilor de MT cu neutrul izolat sau compensat;pentru sesizarea dublelor puneri la pamant in retelele de MT cu neutrul izolat sau compensat;pentru sesizarea componentei nesimetrice de secventa directa in retelele de MT cu neutrul izolat sau compensat;pentru sesizarea regimurilor simetrice in retelele de MT cu neutrul izolat sau compensat;ca protectie de rezerva a generatoare lor sau motoarelor;ABE;PROFESIONALA;5
4497;Caracteristica circulara, la verificarea elementului de masurare Z al releului de distanta RD 110, in laborator, se ridica prin puncte...;0 grade, 90 grade, 180 grade, 270 grade, 360 grade;90 grade, Fscc. linie, 180 grade;0 grade, 90 grade, 180 grade, 270 grade;0 grade, Fscc. linie, 90 grade, 180 grade, 270 grade;-;D;PROFESIONALA;5
4498;La releul de distanta D114, functionarea blocajului la pendulatii se bazeaza pe faptul ca:;sensurile puterilor activa si reactiva care circula pe linie devin contrare;sensurile puterilor activa si reactiva care circula pe linie sunt aceleasi;apare componenta homopolara a curentului care circula pe linie;apar simultan demaraje pe toate cele trei faze, fara nul;apare un demaraj trifazat mai mult de 1 sec;AD;PROFESIONALA;5
4499;Transformatoare cu saturatie rapida, din releele diferentiale RDS-3, permit:;desensibilizarea la curentii de dezechilibru provocati de defectele exterioare zonei protejate;egalizarea curentilor secundari din circuitul diferential;desensibilizarea protectiei fata de socul de curent de magnetizare;temporizarea protectiei diferentiale;-;C;PROFESIONALA;2
4527;Care este criteriul de stabilire a aparitiei pendulatiilor la releul de distanta tip RD 110?;demarajul simultan al releelor Ar, As, At;demarajul releelor Br1, Bs1, Bt1, B01;demarajul simultan al releelor Ar, As, At, A0;demarajul releelor Ar, As, At, A0;-;A;PROFESIONALA;2
4528;Pentru un releu FRT-2a indicati in care caz... releul este neactionat:;succesiune directa, dar Ur=0;succesiune directa;succesiune directa, dar Us=0;succesiune inversa;-;B;PROFESIONALA;3
4529;Releele de control sincronism din schema de RAR, controleaza:;declansarea prin protectie;unghiul de defazaj intre cele doua tensiuni, de la linie, respectiv de la bara;pozitia deschis a intreruptorului de 110kV;diferenta intre cele doua tensiuni, de la linie, respectiv de la bara;-;B;PROFESIONALA;2
4530;Releele directionale sunt folosite in cadrul schemelor de protectii pentru sesizarea:;marimii tensiunii de scurtcircuit;sensul puterii vehiculate pe linie;sensul energiei vehiculate pe linie;defazajului intre curent si tensiune;-;BD;PROFESIONALA;3
4531;Protectia de rezerva a barelor de medie tensiune (PRBMT) este:;o protectie maximala;o protectie temporizata;o protectie nedirectionata;alimentata dintr-o baterie de acumulatori separata;cea care asigura declansarea pe o bobina de rezerva;ABCDE;PROFESIONALA;2
4532;Un releu minimal de tensiune, cu tensiunea nominala de 100V, isi inchide contactul atunci cand tensiunea pe bobina acestuia va fi:;mai mica sau egala cu 100V;mai mare de 100V;mai mica sau egala cu valoarea reglata pe scala;-;-;C;PROFESIONALA;2
4533;Care este elementul din protectia de distanta prin care se realizeaza compensarea rezistentei de arc?;elementul de demaraj;elementul de masura a impedantei;elementul de blocaj la pendulatii;elementul directional;elementul de masura a impedantei mixte;E;PROFESIONALA;2
4534;In cazul protectiei diferentiale longitudinale a unei LEA 110kV, zona protejata este cuprinsa:;intre transformatoarele de tensiune de la capetele liniei;intre transformatoarele de curent de la capetele liniei;intre separatoarele de linie de la capetele LEA;-;-;B;PROFESIONALA;2
4535;Unghiul de maxima sensibilitate la un releu directional se defineste ca:;valoarea de unghi pentru care puterea de actionare este maxima;perpendiculara pe dreapta de sensibilitate maxima;unghiul la care momentul de rotatie este mai mare ca zero;perpendicular pe dreapta de cuplu nul;-;D;PROFESIONALA;5
4536;Montarea casetei Q3 impreuna cu releul de distanta RD 110 are ca scop:;rezervarea protectiei homopolare;blocajul la pendulatii;imbunatatirea sensibilitatii elementului de masurare;imbunatatirea sensibilitatii demarajului protectiei;pornirea DRRI;D;PROFESIONALA;2
4538;La montarea unei protectii homopolara de curent este necesara realizarea unui filtru homopolar pentru care sunt necesare:;trei transformatoare de curent (cate unul pe fiecare faza) ale caror secundare sunt legate in serie;trei transformatoare de curent (cate unul pe fiecare faza) ale caror secundare sunt legate in paralel;trei transformatoare de tensiune (cate unul pe fiecare faza) ale caror secundare sunt legate in paralel;trei relee de curent ale caror bobine se leaga in paralel;-;B;PROFESIONALA;2
4539;Unele din conditiile pe care trebuie sa le indeplineasca automatizarea RAR sunt:;"in cazul defectelor persistente dispozitivul trebuie sa comande declansare trifazata definitiva ;";"reanclansarea sa se produca la declansarea intreruptorului prin protectia de distanta ;";"sa permita blocarea reanclansarii cand declansarea este provocata de anumite protectii ( ex. PDB ) ;";comanda de anclansare data prin dispozitiv trebuie sa aiba o durata suficienta pentru a se asigura anclansarea intreruptorului .;sa nu se produca la deconectarea manuala a intreruptorului;ACDE;PROFESIONALA;2
4540;Principalele avantaje a protectiei de distanta sunt :;deconectarea defectelor cu o temporizare cu atat mai mare cu cat acestea se produc mai departe de locul de amplasare;dependenta redusa a sensibilitatii fata de regimul de functionare a retelei;deconectarea defectelor cu o temporizare cu atat mai mica cu cat acestea se produc mai aproape de locul de amplasare;dependenta sporita a sensibilitatii fata de regimul de functionare a retelei;delimitarea cu suficienta precizie a zonelor protejate;ABCE;PROFESIONALA;3
4542;Diagramele de actionare ale releului de demaraj la minima impedanta Q4 sunt:;cercul cu originea deplasata pe axa R a sistemului de coordonate;cercul cu originea deplasata pe axa X a sistemului de coordonate;cercul cu originea deplasata pe o dreapta cu inclinare de 66 grade fata de axa R;elipsa cu centrul in origine;-;B;PROFESIONALA;3
4544;Elementul care semnalizeaza un defect in spate la releul RD 110 este:;E;Qf;PS;V;-;B;PROFESIONALA;2
4545;Domeniul de functionare a releului de control sincronism RCS este :;reglabil intre 20 grade inductiv si 200 grade;reglabil intre 20 grade si 40 grade inductiv;reglabil intre 20 grade capacitiv si 40 grade capacitiv;reglabil intre 20 grade si 40 grade;-;D;PROFESIONALA;2
4546;Elementul care semnalizeaza un defect in spate la releul D114 este:;E;Qf;PS;V;-;C;PROFESIONALA;2
4548;Protectia de distanta D114 este prevazuta cu:;1 element de demaraj;3 elemente de demaraj (cate unul pentru fiecare faza);6 elemente de demaraj (3 pentru defecte monofazate si 3 pentru defecte bifazate);-;-;B;PROFESIONALA;3
4550;Care este valoarea tensiunii magnetomotoare de lucru (Asp) la releul diferential RDS 3a:;50 A +/- 5 Asp;60 A +/- 5 Asp;60 A +/- Asp;100 A +/- 5 Asp;-;B;PROFESIONALA;3
4551;Eclisa L din releul RDS-3a se utilizeaza;in circuitul de declansare, inseriata cu contactul releului RC;inseriata cu bobina de lucru a releului;inseriata cu bobina de egalizare a releului;in paralel cu bobina de franare;in circuitul curentului diferential masurat de releu;BE;PROFESIONALA;3
4552;Rolul infasurarilor de egalizare din RDS-3a este :;egalizarea curentilor din infasurarea de lucru;desensibilizarea protectiei fata de socurile de curent de magnetizare la conectarea trafo;micsorarea curentului de sarcina a trafo;minimalizarea curentului masurat de protectia diferentiala, in cazul unui trafo cu grupe de conexiuni diferite;desensibilizarea protectiei fata de curenti de dezechilibru ce apar la defecte pe barele de MT;A;PROFESIONALA;3
4554;Elementele de demaraj la protectiile de distanta RD 110:;asigura alimentarea elementului de masura cu marimile electrice corespunzatoare;asigura alimentarea elementului directional cu marimile electrice corespunzatoare;asigura conditiile pentru functionarea elementului de blocaj la pendulatii;-;-;ABC;PROFESIONALA;6
4555;Transformatorul cu saturatie rapida din RDS-3a este folosit pentru:;desensibilizarea protectiei fata de socurile de curent de magnetizare la conectarea trafo;desensibilizarea protectiei fata de curenti de dezechilibru ce apar la defecte in interiorul zonei protejate a trafo;desensibilizarea protectiei fata de curenti de dezechilibru ce apar la defecte pe barele de MT;desensibilizarea protectiei fata de socurile de curent de magnetizare la restabilirea tensiunii in retea;desensibilizarea protectiei fata de socurile de curent insotite de degajari de gaze;AD;PROFESIONALA;5
4557;Functionarea casetei de demaraj Q3 utilizata la protectia de distanta echipata cu releu RD 110:;este dependenta de unghiul de defect, caracteristica de actionare fiind cerc cu centru deplasat;nu este dependenta de unghiul de defect;este dependenta de directie (fata/spate);-;-;B;PROFESIONALA;5
4558;Avantajele protectiei de gaze la un transformator de putere sunt:;actioneaza practic la toate defectele din interiorul cuvei;posibilitatea actionarii releului de catre fluxul de ulei care se formeaza in transformator, in urma unor scurtcircuite exterioare violente sau in urma pornirii si opririi pompelor din circuitul de ulei al trafo cu racire in circuit inchis;simplitate si sensibilitate;rapiditate;-;ACD;PROFESIONALA;2
4561;Releul Q 3 de minima impedanta al protectiei RD 110 are urmatoarele proprietati :;permite functionarea protectiei de distanta la defecte nesesizate de demarajul la supracurent;caracteristica de actionare este un cerc cu centrul in origine;caracteristica de functionare este o elipsa;caracteristica de functionare este dependenta de unghi;caracteristica de functionare este independenta de unghi;ABE;PROFESIONALA;5
4564;Comutarea din treapta 1 in treapata 2 a unei protectii RD 110 se face :;prin introducerea unor rezistente suplimentare in circuitul de tensiune al elementului de demaraj;prin introducerea unor rezistente suplimentare in circuitul de tensiune al elementului de masura;prin suntarea unor rezistente din circuitul de curent al elementului de masura;prin suntarea unor rezistente din circuitul de curent al elementului directional;prin introducerea unor rezistente suplimentare din circuitul de curent al elementului de masura;B;PROFESIONALA;6
4565;Elementele de demaraj din ansamblul RD 110+Q3 functioneaza la:;minima impedanta;supratensiuni pe faze;supracurenti pe faze;pendulatii de putere;curent homopolar;AC;PROFESIONALA;3
